label
Chestnut-capped Warbler
Chestnut-capped Warbler
Olivaceous Saltator
Delicate Prinia
Delicate Prinia
Western Fire-eye
Olivaceous Saltator
Chestnut-capped Warbler
West Mexican Euphonia
Utcubamba Tapaculo
Sunda Scimitar Babbler
Bornean Black Magpie
Bornean Black Magpie
Tapajos Fire-eye
Turkestan Short-toed Lark
Western Fire-eye
Malayan Black-capped Babbler
Malayan Black-capped Babbler
Tanzanian Illadopsis
Arabian Green Bee-eater
Delicate Prinia
Delicate Prinia
Delicate Prinia
Malayan Black-capped Babbler
Siberian House Martin
Siberian House Martin
Siberian House Martin
Siberian House Martin
Short-billed Gull
Short-billed Gull
Bornean Black Magpie
Sunda Scimitar Babbler
Western Fire-eye
Chestnut-capped Warbler
Arabian Green Bee-eater
Ryukyu Green Pigeon
Sulawesi Leaf Warbler
Small Crow
Short-billed Gull
Stella's Lorikeet
Biak Triller
Olivaceous Saltator
Sunda Scimitar Babbler
Olivaceous Saltator
Chestnut-capped Warbler
Loja Tapaculo
Equatorial Antpitta
Simeulue Parrot
Cinnamon-bellied Saltator
Bornean Black Magpie
Bornean Black Magpie
White-browed Gnatcatcher
Bornean Black Magpie
Cinnamon-bellied Saltator
Sunda Scimitar Babbler
Simeulue Parrot
Ornate Pitta
Chestnut-capped Warbler
Visayan Shama
Grey-chinned Sunbird
Geelvink Imperial Pigeon
Western Fire-eye
Chestnut-capped Warbler
Perija Antpitta
Perija Antpitta
Bornean Black Magpie
Delicate Prinia
Arabian Green Bee-eater
Cinnamon-bellied Saltator
Visayan Shama
Visayan Shama
Visayan Shama
Olivaceous Saltator
Ethiopian Bee-eater
Chinchipe Spinetail
Chinchipe Spinetail
Western Fire-eye
Sumatran Woodpecker
Western Fire-eye
Western Fire-eye
Cinnamon-bellied Saltator
White-browed Gnatcatcher
Chestnut-capped Warbler
Brown-tailed Apalis
Brown-tailed Apalis
Brown-tailed Apalis
Bornean Black Magpie
Sunda Scimitar Babbler
Equatorial Antpitta
White-browed Gnatcatcher
White-browed Gnatcatcher
Equatorial Antpitta
Western Fire-eye
White-browed Gnatcatcher
Equatorial Antpitta
Equatorial Antpitta
Equatorial Antpitta
White-browed Gnatcatcher
Sierra Nevada Antpitta
Cinnamon-bellied Saltator
Cinnamon-bellied Saltator
White-browed Gnatcatcher
Malabar Imperial Pigeon
Penan Bulbul
Geelvink Fruit Dove
Geelvink Fruit Dove
Atlas Wheatear
Banda Sea Pitta
Cajamarca Antpitta
Wetar Oriole
Okinawa Robin
Turkestan Short-toed Lark
Stella's Lorikeet
White-browed Gnatcatcher
Ornate Pitta
Arabian Green Bee-eater
Tapajos Fire-eye
Delicate Prinia
Western Fire-eye
Western Fire-eye
Urubamba Antpitta
Bolivian Antpitta
Bolivian Antpitta
Western Fire-eye
Banggai Scops Owl
Sunda Scimitar Babbler
Bornean Black-capped Babbler
Magellanic Snipe
Sulawesi Leaf Warbler
Panao Antpitta
Panao Antpitta
Yungas Guan
White-browed Gnatcatcher
Junin Antpitta
Western Fire-eye
Olivaceous Saltator
Loja Tapaculo
Ethiopian Bee-eater
Western Fire-eye
Yungas Guan
Cajamarca Antpitta
Sulawesi Leaf Warbler
White-browed Gnatcatcher
Olivaceous Saltator
Urubamba Antpitta
Utcubamba Tapaculo
West Mexican Euphonia
Western Fire-eye
Western Fire-eye
Western Fire-eye
Cinnamon-bellied Saltator
Delicate Prinia
Yungas Guan
Equatorial Antpitta
Equatorial Antpitta
Siberian House Martin
Chinchipe Spinetail
Tanzanian Illadopsis
Tapajos Fire-eye
Tapajos Fire-eye
Tapajos Fire-eye
Grey-chinned Sunbird
Tanzanian Illadopsis
Sunda Scimitar Babbler
Turkestan Short-toed Lark
Arabian Lark
Arabian Lark
Loja Tapaculo
African Green Bee-eater
Tanzanian Illadopsis
Tanzanian Illadopsis
Tanzanian Illadopsis
Tanzanian Illadopsis
Tanzanian Illadopsis
Tanzanian Illadopsis
Tanzanian Illadopsis
Tanzanian Illadopsis
Tanzanian Illadopsis
Sunda Scimitar Babbler
Equatorial Antpitta
Arabian Green Bee-eater
Arabian Green Bee-eater
Delicate Prinia
Penan Bulbul
Chestnut-capped Warbler
Delicate Prinia
Delicate Prinia
Chestnut-capped Warbler
Western Fire-eye
Tanzanian Illadopsis
Tanzanian Illadopsis
Bornean Black Magpie
Delicate Prinia
Bornean Black Magpie
Black-capped Robin
Equatorial Antpitta
Delicate Prinia
Small Crow
Small Crow
Biak Triller
Taiwan Bullfinch
Atlas Wheatear
